#a,b
1.37271,1.73322
-1.12156,1.90576
0.63928,-0.96120
1.89617,1.77357
-0.69067,0.37119
1.11459,-0.49038
2.56825,-0.22295
-0.70929,0.20766
1.17519,-1.42718
2.17226,1.95573
-0.88020,-0.43440
1.84111,-0.52450
2.03044,1.99367
-1.53879,1.10716
0.90403,-0.92884
2.63930,2.06668
-0.42836,-0.62934
2.11200,-0.21578
1.65086,1.53075
-1.16351,-0.45668
1.51040,-1.77188
1.95657,1.96413
-1.28255,2.20089
-0.08815,-3.34567
2.61568,2.36349
-1.26707,-0.65062
2.58166,0.90486
2.91915,2.33042
-1.17871,-0.15706
1.09415,-1.07603
2.78455,3.11437
-0.10756,0.72120
2.83750,-1.08242
3.27338,1.57267
-0.47310,0.69789
1.61382,-0.80703
2.73300,1.77219
-1.30177,-0.44381
0.24852,-0.66119
2.79630,2.37647
-1.70689,-0.05954
0.09005,-1.99983
1.98485,2.71635
-0.68967,0.47613
2.43966,-0.23901
2.41525,1.96639
-0.70695,-0.09201
1.30242,-1.34586
3.34008,0.10337
-1.06776,-0.66223
-0.10742,-1.51733
2.33082,1.44593
-1.34778,0.68738
1.18559,0.37229
3.58229,3.20342
-1.26254,-0.99146
1.31650,-2.25241
0.70064,1.91587
-1.93681,1.72910
0.92187,-1.62785
1.71544,2.50609
0.49512,0.59348
1.02636,-0.78748
1.85355,1.88299
-0.97434,0.05163
1.37790,0.18429
2.61909,2.07814
-2.18002,1.23049
0.61745,-1.68624
0.73675,2.51047
-1.23879,-0.37080
1.46767,-0.27260
2.72572,1.43040
-1.07004,-0.09212
1.55124,-0.15588
2.29102,1.98419
-1.35022,-0.13420
-0.80334,0.02280
2.16977,2.98317
-0.83715,0.19486
1.28019,0.68127
2.75597,0.68683
-1.98815,-0.15335
-1.12724,-2.49350
2.99097,1.86958
-1.72096,0.08130
0.75766,-2.68942
2.35535,4.05896
-0.81131,-0.03397
1.14922,-1.20740
2.42739,1.91507
-0.65871,0.18524
0.98099,-1.10969
1.60460,1.83707
-1.66237,-0.86110
1.64995,-2.23669
2.52004,2.28852
-0.73675,0.21889
1.04704,-0.74736
2.12122,2.37356
-1.06654,0.52901
1.12115,-1.22342
2.00922,2.39429
-0.89961,-1.27083
0.99879,-0.93054
1.67104,1.65091
-0.82613,-0.59752
-0.74653,-0.99360
1.99450,1.58204
-0.10218,-1.97797
0.03109,1.54303
2.88049,1.78470
-0.30012,-0.28298
0.96623,-1.48918
2.78437,2.69061
-1.01167,0.24846
1.33856,-0.93094
3.36708,0.84379
-0.31971,-0.87468
0.81220,-2.22270
1.63944,0.93732
-0.40491,-0.07232
1.03623,-1.34263
2.38094,2.40436
-0.95338,0.04235
0.82019,-1.01972
3.73345,1.24184
-0.90680,0.09580
0.85032,-0.78537
1.55359,2.62986
-1.49664,0.31040
1.07531,-0.95058
1.62929,2.12741
-0.57109,-0.71258
1.50045,-0.76379
2.26221,2.00292
-0.87643,-0.82639
1.36988,-0.79146
2.46762,2.95112
-1.08110,0.08781
-0.02130,-0.70323
1.45490,2.29043
-1.46298,0.73850
-0.37508,-1.13635
2.14616,2.51488
-0.74493,-0.13075
1.15183,-2.44852
3.44933,3.63513
-1.83425,-0.10502
0.98523,-1.46135
2.01733,1.74666
-2.18030,-0.43610
1.81590,0.09485
2.10681,1.77491
-1.36534,0.11905
0.24052,-0.44590
2.51972,1.59457
-1.28261,0.32168
1.52657,-0.14439
3.07400,1.79973
0.57680,-1.06612
1.55411,-0.42282
1.64236,1.77142
-0.13078,0.64679
0.65375,-0.84462
1.70843,1.95226
-0.59858,1.25119
0.92532,-1.44712
0.85193,1.52221
-2.05354,0.35164
1.25896,-1.21463
2.06689,1.75571
-0.67622,0.89061
1.16916,-0.74357
3.04895,2.26358
-0.60980,0.36623
0.57339,-0.08758
1.10468,0.91393
-1.09394,0.52371
-0.14923,-2.01062
2.07601,1.94179
-1.11322,-1.97849
0.56724,-2.25566
3.56892,1.05405
-0.59504,1.10200
1.03322,-0.97752
0.88681,2.23700
0.88824,0.85369
1.86469,-1.07605
1.86642,0.96570
-1.19415,0.59026
1.13881,-1.06645
2.67679,2.86663
-1.50414,0.08897
1.65459,-0.91646
1.82746,2.06913
-0.66945,1.88766
1.43271,-0.34051
2.31406,1.80956
-0.47910,-0.59455
1.00577,-1.02492
1.35810,2.17024
-1.25967,0.62016
1.57862,-2.01308
1.98809,1.98195
-1.34197,-1.19817
1.57242,-0.47492
1.82405,4.12074
-0.90224,0.02000
1.23413,-0.61563
2.75613,1.93172
-1.00252,0.00828
1.90432,-1.07505
2.31731,2.98959
-0.33558,0.09021
0.63544,-1.48467
2.58187,1.58315
-0.93206,0.07797
0.42219,-1.27021
1.84916,1.95376
-0.28039,0.80476
0.96797,-1.06055
2.90670,3.30505
-0.45981,-0.53274
1.61220,0.69866
-0.46845,0.46384
0.13416,-2.48484
0.94387,-1.06975
2.08800,1.97613
-2.88942,1.91658
1.11237,-1.21072
1.53527,0.44545
-0.78993,0.99818
1.06614,-1.07683
1.74827,3.13508
-0.93440,0.04643
2.73485,-1.87316
1.65002,2.11242
-0.47498,-1.35507
1.25383,-0.64239
2.24669,2.48691
-2.09205,0.47676
-0.08970,-0.60422
2.33571,1.04647
-1.11331,-0.14120
0.42593,-1.75142
2.97893,1.14147
-1.45835,-0.33530
1.16152,-2.54255
2.84675,3.03293
-0.84134,0.27992
1.34274,-0.97973
1.71835,3.16303
-1.02076,0.05781
0.89439,-1.04708
1.52676,2.73316
-1.26019,-0.46045
-0.48758,-2.58425
2.02530,1.90118
-0.40810,-0.61181
1.01045,-0.99926
-0.23622,4.25919
-0.23786,-0.57303
0.91934,-0.81775
0.11818,2.72069
-1.00032,-0.09907
0.56203,-0.67928
2.73892,4.76286
-1.28061,0.12163
0.99780,-1.00029
1.56261,1.24720
-1.23294,-0.54878
1.09401,-0.72369
0.92092,1.96553
-0.91758,-0.34105
1.79157,-1.72391
1.70153,1.71863
-0.39652,-0.63358
-0.35166,0.96433
1.64738,2.86826
-0.38240,1.62762
1.44417,-0.47932
2.01461,1.53515
-0.68063,0.18936
1.54933,-2.30685
2.20700,2.01174
-1.13235,-0.07779
0.23155,-1.53734
2.62229,2.53179
-2.31409,-0.73962
-1.40559,-0.39366
2.24146,1.07112
-2.74438,0.13277
1.79606,-2.04099
1.90916,1.92080
-1.29154,-0.01590
1.25555,-1.20699
1.60767,2.15394
-1.02650,-0.56470
0.79571,-1.65481
3.17555,1.56658
-1.49359,-1.31774
0.71028,-1.09904
2.27396,2.96974
-0.13049,-0.70558
1.13353,-1.05474
1.51713,1.36860
-1.48165,-1.13665
0.88167,-1.11186
2.76778,2.37363
0.79971,0.77931
0.90031,-0.84716
2.74470,1.25532
-1.42174,0.81810
0.89139,-0.61073
4.06491,2.99833
-1.57601,0.19762
-0.41434,-0.84627
1.78083,0.63409
-1.17366,-0.26863
1.20374,-0.67477
2.14387,2.00532
-1.18869,-0.34026
2.87074,-1.53428
1.59654,1.56925
-1.23034,-0.07090
1.77775,-0.81529
2.44525,2.33486
-2.10322,-0.03421
0.95444,-1.02045
2.04599,2.45650
-1.34401,-1.16610
0.96379,-0.75563
2.45636,0.66111
-1.22431,0.09330
1.93103,-1.40842
1.78153,2.17562
-1.03812,0.01629
1.61896,-0.90742
1.98743,2.01298
-1.42368,-0.30468
0.97615,-1.08791
0.55592,2.20755
-2.21080,0.10762
1.96937,-1.01542
3.54315,1.18620
-0.90132,-0.05551
1.41801,-1.00726
2.00365,2.23079
0.03931,-0.24722
1.12546,-0.62003
2.10570,2.00537
-0.31300,-0.16733
0.66406,-1.30528
3.19812,2.18632
-1.58910,0.75756
1.15641,-0.54305
1.33453,2.03451
-0.34711,0.14598
1.51207,-2.18271
2.72330,2.40476
-0.95067,0.40965
0.86542,-0.54604
0.67739,0.48970
0.40797,3.08618
1.17149,-0.35585
3.35590,0.87114
0.45699,-0.73746
1.04474,-0.98254
2.19938,2.38941
-1.27314,-0.23413
-0.56332,-1.83742
1.88790,2.10620
-1.14395,0.84881
0.21105,-1.69094
1.92906,2.07839
-2.47833,-0.34681
0.97983,-1.05843
1.27765,3.06022
-0.82310,-0.35548
1.02378,-0.99018
1.95117,3.15202
-0.67277,0.03696
0.71951,-0.60749
0.90085,2.71336
-0.74302,0.09090
0.54317,-1.54593
1.88456,2.02493
-1.69997,0.42526
0.12946,-1.27985
2.19302,2.04954
-0.10344,0.00074
1.33233,-1.18459
2.26964,1.76545
-2.88580,-1.16201
1.23102,-0.94188
0.63290,2.07631
-1.15470,0.33151
2.92128,-0.25254
2.13217,2.00932
-2.52739,0.03410
0.93338,-1.00485
1.98671,1.94249
-0.64668,-0.85588
1.00360,-0.99524
2.21748,1.85131
-1.64689,0.94390
-0.48199,-2.27466
1.31574,2.84363
-0.89632,0.18323
-0.09393,-0.75227
1.85540,1.90800
-0.98670,-0.00691
0.70747,-0.20276
1.94268,1.74742
-0.22988,0.95950
0.07694,-0.74240
2.41745,3.39897
-2.28738,-1.01510
0.76768,-0.90039
2.07703,2.30402
-0.43769,-0.49116
0.43964,-0.89032
1.88834,2.06095
-0.84351,0.10041
0.28251,-1.68401
1.43144,1.81837
-1.08879,0.20906
0.77878,-1.41497
2.64730,1.78388
0.37947,-1.52541
1.43122,0.85332
2.05374,1.87933
-0.97400,-0.37552
0.25877,0.07234
2.22116,2.25694
-1.01454,0.01700
-0.24691,-0.85838
2.03240,1.96209
-1.44803,0.37139
-0.09531,-0.84372
3.32838,2.28100
-1.85540,-0.25711
1.22790,-0.72653
2.05889,0.03112
-1.76608,-1.17280
0.72297,-0.81579
1.10932,1.52812
-2.41545,-0.15682
0.58131,0.03363
1.59233,0.69642
-0.85632,1.18887
0.78844,-1.21666
2.06522,1.99078
-1.02252,1.38219
-0.75089,0.41399
2.93330,2.42526
-1.31373,-1.09822
1.57694,-0.43553
2.91446,1.95259
-1.50368,0.89472
2.27013,-1.42254
2.18652,2.41837
-0.92823,-0.01682
1.35098,-0.35428
2.11954,1.93248
-1.09019,0.58088
1.51603,-2.03622
1.07521,2.09713
-0.81531,-0.20141
0.66022,-0.08696
0.25193,3.55570
-0.83260,-0.58785
0.87203,-0.95720
2.25582,1.72780
-0.03588,0.59860
1.81225,-1.39281
4.12533,1.79629
-0.52417,0.55723
0.07787,-1.07433
0.65017,2.11118
-1.44904,-0.13619
0.88454,-1.06362
0.94772,2.27596
-1.34635,-0.36851
0.80811,-1.28598
2.11803,1.81022
0.07003,-0.67640
1.41236,-0.89551
1.84141,2.15802
-1.08830,-0.00386
1.48770,-0.88425
1.41839,1.31943
0.21918,0.65371
0.78363,-1.20966
1.09585,2.21340
-1.10308,0.69039
0.10349,-2.19128
2.04471,1.91785
-1.25294,1.15356
0.55754,-1.68022
1.99206,1.44558
-1.05663,-0.75259
1.07609,-1.08738
2.26524,2.35106
-1.04324,0.00194
1.03138,-0.93350
2.03869,2.04602
-1.29997,-0.52970
0.30264,-0.82272
0.59256,2.04298
-0.88221,-0.01845
1.44823,-1.24670
2.83092,2.50216
-0.55414,-0.07487
2.48466,-0.49712
1.87277,2.58841
-3.16368,0.61151
0.46595,-1.35576
0.99509,1.50454
-2.60818,-0.56365
2.78409,-0.33106
2.39416,2.09591
-1.84637,0.82712
2.90939,-0.86280
2.06692,2.34554
-0.92569,0.04995
1.22189,-0.37499
2.06616,2.22698
-1.70993,0.08846
0.40237,-1.73684
2.20756,2.01044
-1.03331,-0.03160
1.05784,0.03982
3.10216,1.52247
-1.42487,-1.02008
0.30083,-1.33897
2.15923,1.92877
-0.98345,-0.47588
1.03079,-1.23058
2.21917,2.12216
-0.96152,0.00959
0.34318,-1.50759
1.64063,2.22134
-0.91102,-0.18927
1.19076,-0.70077
1.40641,1.94216
-0.63108,-0.46795
0.44786,-1.29507
1.87203,2.46944
-1.20774,0.01443
0.37986,0.15685
4.12657,1.83704
-0.95303,-0.26052
2.13604,-1.79982
3.67214,2.27182
-3.14020,-0.11754
4.06116,-0.78556
2.02314,2.02164
-0.90191,-0.04620
1.09343,-1.04400
1.04986,0.87248
-2.46979,0.28355
1.33885,-0.52601
2.12566,2.04501
0.21034,-1.49638
1.55649,-1.31777
1.66104,2.01570
-0.76020,-0.43914
0.44237,-0.74027
2.90680,1.82999
-0.96817,-0.24839
0.58260,-2.15946
2.48180,2.50035
1.56317,0.62892
1.00425,-1.41602
2.23910,2.19460
-0.60886,-0.65535
0.99636,-1.00264
3.32262,1.55197
-1.09824,0.09101
2.23940,-1.59734
2.67661,3.07502
-0.26848,0.39021
0.82031,-0.74177
1.98026,2.28377
-2.58980,-0.49132
-0.31609,-1.44193
1.78553,2.06467
-0.55279,0.69607
1.64409,-1.04634
2.17909,2.17399
-0.95930,0.04550
0.45506,-1.04022
0.78710,2.66636
-0.65270,-0.91992
1.29803,-1.10904
2.09535,2.35348
-0.85763,0.23338
1.23623,-1.00893
2.21371,1.94146
-1.91393,-0.22979
-0.63117,-0.21018
2.52349,1.09516
-1.74602,-1.58594
0.06956,0.22624
1.77829,1.70696
-2.68766,1.82871
1.17155,-0.92285
2.15544,1.89497
-1.08201,0.04460
0.81214,-0.65882
2.20646,1.74478
-1.00433,0.00398
1.47083,-0.45878
1.71712,1.45553
-0.56023,-0.56307
1.17138,-0.71115
2.75422,2.61844
-0.89649,-0.03542
0.92186,-0.94036
2.26100,1.96199
-2.23485,-0.62414
1.61660,-1.18229
1.94902,2.18145
-0.51584,-1.12555
0.97689,-0.56462
2.23427,0.33107
-0.61331,0.74179
1.24848,-0.92044
1.86807,1.63528
-0.72274,0.37856
0.70544,-0.84926
2.37758,2.07749
-1.71348,-0.39132
2.24455,-0.38929
1.41055,4.15413
-0.81574,0.24878
2.66964,0.40744
0.73535,3.19794
-0.98969,0.00678
0.90704,-0.97703
2.74685,2.52650
-0.68729,-0.11774
4.12661,-1.00659
2.54138,2.05381
-1.89765,-1.57616
0.84102,-1.13053
2.76677,2.72202
-0.38546,-0.20311
1.31997,0.88932
1.88044,1.39066
-1.62260,0.44011
1.35429,-2.70161
1.16209,1.08081
-1.73221,-0.21048
1.07027,-2.77798
1.79391,2.20262
-0.45890,-0.08909
0.88599,-0.89381
2.04709,1.36563
-3.23468,0.71539
1.04864,-0.90565
1.55933,2.16655
-0.99539,0.02400
2.06870,-1.60846
0.98115,2.25122
0.08985,-0.61152
0.66772,0.40028
1.93799,2.07287
-1.46020,-0.46188
0.80774,-1.18404
1.63721,2.21479
-1.03381,-0.16268
1.11554,-1.91349
1.68004,1.74309
-1.25769,0.35030
0.68570,-0.94455
1.93554,1.64299
-1.83586,-1.65947
-1.05536,-0.10160
2.92216,2.45406
-2.20920,0.36466
-0.01967,-0.83105
1.99333,2.01521
-0.72449,0.23915
0.96316,-0.89907
2.00790,1.85442
0.10404,-0.17918
1.13932,-1.40763
2.35868,2.67915
-1.01099,0.02075
0.97261,0.43951
2.42867,2.20578
-3.02619,-2.01735
0.95965,-1.00859
2.19046,1.17237
-0.69884,-0.50057
2.11297,-0.45251
1.85718,2.06188
-1.00938,-0.01998
1.88716,-1.73050
1.67031,2.07423
-1.02863,0.22891
1.29795,-0.93327
1.86437,2.34722
0.64021,-0.61372
1.30423,-1.12003
2.61698,2.38113
-0.96649,-0.03856
1.17798,-1.10453
-0.12215,0.14823
-0.38591,-0.57173
0.47468,-0.94440
2.73241,0.58626
-1.20542,0.50998
0.33785,-1.44073
3.69920,1.01418
-0.96031,0.10825
0.75112,-0.96138
1.84315,2.53478
-2.08949,0.60975
1.31556,-1.21413
2.72427,1.93833
-2.56162,-0.81804
0.88692,-0.99000
1.66512,1.25900
-0.79333,0.25361
1.43664,-1.26619
2.06541,3.55897
-1.17156,-0.57873
1.16108,-1.54021
2.52526,2.26651
-0.57288,0.14806
0.93152,-1.89114
2.56323,1.07916
-1.31148,0.68931
0.24016,-1.24889
1.97711,1.99719
-1.81551,1.22251
0.15821,0.45796
3.15933,1.51679
0.02112,-0.91676
0.46817,-1.36384
2.15702,2.00377
-1.67257,-0.98607
0.86869,-0.98979
4.45680,1.86677
-0.67800,-0.11307
0.90646,0.98113
2.84718,2.11564
-0.87284,-0.15327
0.69292,-2.23228
0.26777,2.22140
-0.43940,0.38177
0.97642,-0.32338
2.58997,3.69573
-1.02786,0.00239
1.08598,-0.70297
3.45021,0.76056
-1.22519,0.40083
1.00118,-1.00951
1.35521,2.49513
-2.39405,1.24498
0.41639,-0.20856
2.02433,1.72640
0.20212,-0.09894
2.80540,-2.03590
1.77155,1.81431
-1.06496,-0.09969
0.45129,0.46398
2.24572,2.00153
-1.89051,0.05346
1.02251,-1.05493
1.28139,0.55633
-0.18445,0.05770
0.92094,-2.50264
0.90070,2.29473
-1.46686,-1.20920
-0.14051,-0.78212
0.80890,0.27662
-0.97629,-0.26059
1.14178,-1.29841
1.50094,1.35298
-0.57419,0.30535
1.37337,-0.65519
0.72309,1.09227
-0.98937,-0.00865
1.55147,-0.13150
0.98854,2.60953
-1.62369,0.26040
0.83322,1.54586
1.74656,1.93618
-1.28666,0.09610
1.53938,-0.34048
2.56094,3.66545
-0.19124,-1.02544
0.92249,-0.79995
1.77702,1.43198
-1.32686,0.07387
1.26725,-0.39847
1.75650,2.27254
-0.01369,-0.86884
0.66968,-1.21120
3.51491,2.87843
-1.39160,0.50480
1.40675,-0.76062
2.59547,2.41236
-1.03716,0.02761
1.62570,-0.94079
1.64484,2.46995
-1.34519,-0.01695
1.52145,-0.25211
2.01304,2.01847
-1.01595,-0.00404
2.25216,-0.12112
1.59211,1.91450
-1.17091,0.14498
2.44029,-0.92099
3.89185,1.84066
-1.08336,1.31248
1.40376,0.14190
2.47492,0.95643
-0.85276,0.12622
0.57023,-1.12137
2.07447,1.93882
-0.28405,1.08363
-0.66716,-0.29483
2.66310,1.82677
-0.44573,1.02630
0.26975,-0.33345
2.01588,1.25214
-0.64832,0.58172
1.65543,-0.77896
2.02932,1.79918
-0.59322,-0.15724
0.19985,-1.77903
2.90043,1.29201
-1.03017,-0.04083
0.54256,0.76507
1.98306,2.02165
-0.77089,-0.63221
0.99097,-1.05944
1.92114,1.91316
-0.37798,-0.07565
0.41281,-0.29957
0.16040,2.52604
-1.18826,0.06854
-0.34674,-0.95552
2.60230,1.74494
-0.36975,0.71966
1.27952,-0.70469
1.27270,1.96840
-1.22648,-0.05772
1.17439,-0.97295
2.13603,1.37356
-1.17161,0.35687
0.74974,-1.95661
3.15335,2.42257
-1.35890,-0.67767
0.66276,-1.08166
2.06885,1.70905
-0.94069,0.00205
2.35041,-0.32785
2.04793,2.11280
-1.03372,-0.01899
-0.42085,-3.04718
2.00330,3.05432
-0.11027,-0.20225
0.85711,-1.72480
0.90156,3.11210
-1.56104,0.20825
0.43705,-2.49502
0.76225,2.71155
-1.81794,0.67772
0.99012,-0.99812
0.64972,2.34536
-1.14392,-0.10974
1.00113,-0.83497
3.53030,2.04702
-0.95428,-0.06963
0.51839,-0.97939
2.00523,1.98494
-1.03757,0.06374
0.11363,-1.11038
1.33469,4.20797
-0.78753,0.36941
0.77771,-1.14316
1.65684,2.66479
-1.30676,-0.11725
1.58271,-0.10844
2.47313,2.61597
-0.38562,-1.01138
0.68628,-1.02404
1.92054,2.50025
-0.67167,0.32910
1.35207,-2.09084
0.56245,1.63946
-1.01632,-0.00479
0.66569,-1.24037
1.80319,2.32212
-0.57067,1.28891
1.72930,-0.89513
2.00880,1.97464
-0.11002,-0.09484
2.65133,-1.22965
-0.04546,2.32205
-0.92540,1.26183
0.70246,-0.78158
2.30686,3.07612
-1.63461,-0.63848
1.19954,-0.61324
2.10283,1.53615
-1.50890,0.20568
0.52248,-1.85740
1.81491,1.83328
0.90624,-1.01378
1.45280,-0.77311
1.23437,1.93644
-0.11078,-0.41040
0.68849,-0.80707
2.00503,1.95371
-3.12215,-0.01245
2.42300,-0.38704
1.68406,3.51445
-0.99376,-0.01421
1.82122,-0.77743
2.35485,2.59429
0.12915,1.37737
1.47743,-1.02072
0.87693,1.25013
-0.94974,0.04102
1.33820,-1.09401
1.79972,0.83011
-1.02809,0.21849
0.59146,-1.31270
2.58277,1.33890
-1.40249,-1.26676
0.61659,-0.89766
1.74004,0.52194
-0.35005,-0.12730
1.16138,-1.06741
-0.40418,3.09295
-1.15718,0.00492
1.15303,-0.42864
1.77786,2.39853
-1.63971,-0.35319
1.05702,-1.51686
3.52729,4.12363
-0.43302,0.22881
0.67128,-1.11605
1.40529,-0.00790
-1.27964,-1.21089
0.92514,-1.07746
1.57178,2.43296
-1.42056,-1.19833
1.35806,-1.24301
2.30792,2.08613
-1.52182,0.04842
1.08646,-0.35826
1.92846,1.89612
-0.69334,-0.27796
0.97988,-0.59259
2.34947,2.19030
-0.72458,-1.13902
1.00157,-0.99591
1.75384,2.07697
-0.86935,-0.06842
1.11146,-2.16138
1.35238,2.94551
-1.15561,-1.72721
1.04935,-1.13750
2.03615,1.98476
-1.03007,-0.09515
0.93145,-0.40666
1.98543,1.39455
-0.84816,-0.57150
2.04049,-0.97010
2.07674,1.98257
-1.11763,-0.91765
1.84737,-0.39057
2.53102,1.41266
-0.74024,0.24281
1.00350,-0.88349
1.55471,1.34522
-2.81358,-0.53189
0.70732,-1.01661
1.21348,2.70549
-0.99170,0.14136
0.38143,-0.90473
2.88248,1.27509
-1.68078,-0.02507
1.20778,-0.56543
1.69913,1.94103
0.49662,-0.99720
0.00906,-0.29534
2.79080,2.80138
-1.20510,0.13320
0.86393,-0.30499
1.87881,1.39123
-0.93868,0.00628
1.15716,-0.14311
3.36316,2.02979
-0.90273,-0.57381
0.92807,-1.19596
0.36165,2.32800
0.14451,0.07119
0.90069,-1.01627
2.55053,1.10422
-0.97049,0.01402
0.08332,-1.69874
0.94246,3.11087
-1.86435,0.64303
0.87446,-0.95121
2.10839,2.24083
-0.59420,0.12615
1.92692,-1.24736
2.01250,2.14104
-0.95893,-0.00708
1.33078,-0.78575
2.29926,2.21701
-1.80087,2.31326
0.51393,-0.52073
1.45252,2.90974
-0.01070,-0.00463
1.00285,-0.99114
1.10003,1.00596
-0.41734,-0.32495
0.59560,-1.60710
1.47164,3.03180
-0.79354,-0.02652
1.38960,-0.36147
